,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract,Store_Type
115936,CVS Pharmacy 7836,1151 E McKellips Rd,,Mesa,AZ,85203,2626,MARICOPA,-111.80544,33.451473,115937,4.01E+13,4013420504,0
78216,CVS Pharmacy 7837,2807 N Power Rd,,Mesa,AZ,85215,1728,MARICOPA,-111.68386,33.4669,78217,4.01E+13,4013420107,0
120301,CVS Pharmacy 7839,32331 N Scottsdale Rd,,Scottsdale,AZ,85262,,MARICOPA,-111.92573,33.778831,120302,4.01E+13,4013216822,0
115938,CVS Pharmacy 7845,7552 E Indian School Rd,,Scottsdale,AZ,85251,3918,MARICOPA,-111.91807,33.494938,115939,4.01E+13,4013217201,0
138675,CVS Pharmacy 7849,1015 E Ray Rd,,Chandler,AZ,85225,1599,MARICOPA,-111.82304,33.320602,138676,4.01E+13,4013811400,0
120302,CVS Pharmacy 7852,28138 N Tatum Blvd,,Cave Creek,AZ,85331,6303,MARICOPA,-111.97817,33.740532,120303,4.01E+13,4013613300,0
115939,CVS Pharmacy 7860,1615 E Baseline Rd,,Phoenix,AZ,85042,6801,MARICOPA,-112.04704,33.377632,115940,4.01E+13,4013116704,0
120304,CVS Pharmacy 7862,10160 Bell Rd East,,Scottsdale,AZ,85255,,MARICOPA,-111.86124,33.639996,120305,4.01E+13,4013216846,0
83365,CVS Pharmacy 7872,7499 W Bethany Home Rd,,Glendale,AZ,85303,4303,MARICOPA,-112.21973,33.523415,83366,4.01E+13,4013092715,0
115943,CVS Pharmacy 8365,2428 S Val Vista Dr,,Gilbert,AZ,85296,,MARICOPA,-111.7557,33.321396,115944,4.01E+13,4013814500,0
106280,CVS Pharmacy 8366,1610 E Camelback Rd,,Phoenix,AZ,85016,3902,MARICOPA,-112.04678,33.509258,106281,4.01E+13,4013107700,0
165310,CVS Pharmacy 8914,50 W Jefferson St,,Phoenix,AZ,85003,2304,MARICOPA,-112.07448,33.447186,165311,4.01E+13,4013114100,0
