,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
137,04013082007,176398.0,90 First Market 1,9021 W Camelback Rd,Unit 100,Phoenix,AZ,85037.0,1100.0,MARICOPA,-112.25299999999999,33.508762,176399.0,40100000000000.0,Market,0.07633451850728094,4.0,1.0
138,04013082008,,,,,,,,,,,,,,,3.989204532391526,8.0,0.0
139,04013082009,191182.0,Food City 154,9020 W Thomas Rd,,Phoenix,AZ,85037.0,3234.0,MARICOPA,-112.25313999999999,33.479759,191183.0,40100000000000.0,GroceryStore,0.10890624908178825,6.0,1.0
140,04013082010,68478.0,FRY'S 619,8325 W Indian School Rd,,Phoenix,AZ,85037.0,2125.0,MARICOPA,-112.2385,33.494228,68479.0,40100000000000.0,GroceryStore,0.04634359355910584,8.0,1.0
141,04013082012,,,,,,,,,,,,,,,3.989204532391526,4.0,0.0
142,04013082016,,,,,,,,,,,,,,,3.989204532391526,7.0,0.0
143,04013082017,,,,,,,,,,,,,,,3.989204532391526,7.0,0.0
144,04013082018,,,,,,,,,,,,,,,3.989204532391526,8.0,0.0
145,04013082019,,,,,,,,,,,,,,,3.989204532391526,4.0,0.0
146,04013082020,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
147,04013082021,148192.0,FRY'S 66,10675 W Indian School Rd,,Avondale,AZ,85392.0,5645.0,MARICOPA,-112.28846000000001,33.493633,148193.0,40100000000000.0,GroceryStore,0.07228763927269984,4.0,1.0
148,04013082022,,,,,,,,,,,,,,,3.989204532391526,3.0,0.0
149,04013082023,,,,,,,,,,,,,,,3.989204532391526,14.0,0.0
150,04013082024,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
151,04013082025,,,,,,,,,,,,,,,3.989204532391526,2.0,0.0
152,04013082026,,,,,,,,,,,,,,,3.989204532391526,3.0,0.0
153,04013082027,,,,,,,,,,,,,,,3.989204532391526,7.0,0.0
154,04013082028,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
155,04013082203,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
156,04013082204,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
157,04013082205,187107.0,FRY'S 79,2626 S 83rd Ave,,Phoenix,AZ,85043.0,7207.0,MARICOPA,-112.23867,33.423901,187108.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
158,04013082206,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
159,04013082207,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
160,04013082208,,,,,,,,,,,,,,,3.989204532391526,3.0,0.0
161,04013082209,,,,,,,,,,,,,,,3.989204532391526,4.0,0.0
162,04013082210,198310.0,FRY'S 89,11425 W Buckeye Rd,,Avondale,AZ,85323.0,6810.0,MARICOPA,-112.30553,33.435368,198311.0,40100000000000.0,GroceryStore,0.11594330194243871,7.0,1.0
163,04013082210,26312.0,Super Carniceria Los Alamos 2,10730 W Lower Buckeye Rd,,Avondale,AZ,85323.0,9653.0,MARICOPA,-112.29078,33.421036,26313.0,40100000000000.0,Market,0.7196651662513504,7.0,1.0
164,04013082211,,,,,,,,,,,,,,,3.989204532391526,4.0,0.0
165,04013083000,27197.0,Foodvalley Market 01,9102 W Washington St,,Tolleson,AZ,85353.0,2929.0,MARICOPA,-112.25532,33.447414,27198.0,40100000000000.0,Market,0.22619523852607443,29.0,1.0
166,04013083000,122243.0,Mercado Y Carniceria Rodeo Inc,9201 W Van Buren St,,Tolleson,AZ,85353.0,2905.0,MARICOPA,-112.25792,33.450325,122244.0,40100000000000.0,GroceryStore,0.06393256031590852,29.0,1.0
