,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
892,04013613000,19033.0,Walmart Supercenter 5835,34399 N Cave Creek Rd,,Cave Creek,AZ,85331.0,,MARICOPA,-111.96535,33.796413,19034.0,40100000000000.0,GroceryStore,,,
893,04013613100,,,,,,,,,,,,,,,,,
894,04013613200,,,,,,,,,,,,,,,,,
895,04013613300,,,,,,,,,,,,,,,,,
896,04013613400,,,,,,,,,,,,,,,,,
897,04013613500,190536.0,Bashas' 102,20700 N Lake Pleasant Rd,,Peoria,AZ,85382.0,535.0,MARICOPA,-112.27998000000001,33.672577000000004,190537.0,40100000000000.0,GroceryStore,,,
898,04013613600,112672.0,Walmart Supercenter 3896,21655 N Lake Pleasant Pkwy,,Peoria,AZ,85382.0,7436.0,MARICOPA,-112.27878999999999,33.679016,112673.0,40100000000000.0,GroceryStore,,,
899,04013613700,,,,,,,,,,,,,,,,,
900,04013613800,188565.0,FRY'S 74,8375 W Deer Valley Rd,,Peoria,AZ,85382.0,2460.0,MARICOPA,-112.23948999999999,33.68153,188566.0,40100000000000.0,GroceryStore,,,
901,04013613900,34952.0,ALBERTSONS  991,8240 W Deer Valley Rd,,Peoria,AZ,85382.0,2125.0,MARICOPA,-112.23647,33.681625,34953.0,40100000000000.0,GroceryStore,,,
902,04013614000,31359.0,Sprouts Farmers Market 27,6760 W Deer Valley Rd,,Glendale,AZ,85310.0,5949.0,MARICOPA,-112.20448,33.681881,31360.0,40100000000000.0,GroceryStore,,,
903,04013614100,,,,,,,,,,,,,,,,,
904,04013614200,13238.0,FRY'S 60,20220 N 59th Ave,,Glendale,AZ,85308.0,6844.0,MARICOPA,-112.18687,33.66959,13239.0,40100000000000.0,GroceryStore,,,
905,04013614200,75641.0,SAFEWAY  1510,20205 N 67th Ave,,Glendale,AZ,85308.0,6659.0,MARICOPA,-112.20286000000002,33.668704999999996,75642.0,40100000000000.0,GroceryStore,,,
906,04013614300,,,,,,,,,,,,,,,,,
907,04013614400,,,,,,,,,,,,,,,,,
908,04013614500,,,,,,,,,,,,,,,,,
909,04013614600,,,,,,,,,,,,,,,,,
910,04013614700,,,,,,,,,,,,,,,,,
911,04013614800,,,,,,,,,,,,,,,,,
912,04013614900,,,,,,,,,,,,,,,,,
913,04013615000,,,,,,,,,,,,,,,,,
914,04013615100,,,,,,,,,,,,,,,,,
915,04013615200,130286.0,Albertsons 25,21001 N TATUM BLVD,,PHOENIX,AZ,85050.0,4203.0,MARICOPA,-111.97725,33.676926,130287.0,40100000000000.0,GroceryStore,,,
916,04013615200,228326.0,Sprouts Farmers Market 30,5455 E High St,Ste 107,Phoenix,AZ,85054.0,5464.0,MARICOPA,-111.96326,33.675274,228327.0,40100000000000.0,GroceryStore,,,
917,04013615200,86228.0,Target Store T-1360,21001 N Tatum Blvd,Ste 20,Phoenix,AZ,85050.0,4207.0,MARICOPA,-111.97725,33.676926,86229.0,40100000000000.0,GroceryStore,,,
918,04013615200,111133.0,Whole Foods Market 10246,7111 E Mayo Blvd,,Phoenix,AZ,85054.0,5165.0,MARICOPA,-111.92751000000001,33.655075,111134.0,40100000000000.0,Pricey,,,
919,04013615300,,,,,,,,,,,,,,,,,
920,04013615400,,,,,,,,,,,,,,,,,
921,04013615500,,,,,,,,,,,,,,,,,
922,04013615600,,,,,,,,,,,,,,,,,
923,04013615700,,,,,,,,,,,,,,,,,
924,04013615800,195915.0,AJ's Fine Foods 117,20050 N 67th Ave,,Glendale,AZ,85308.0,4616.0,MARICOPA,-112.20316000000001,33.666264,195916.0,40100000000000.0,Pricey,,,
925,04013615900,,,,,,,,,,,,,,,,,
926,04013616000,,,,,,,,,,,,,,,,,
927,04013616100,,,,,,,,,,,,,,,,,
928,04013616200,243562.0,Four Season Market,4410 W Union Hills Dr,Ste 7,Glendale,AZ,85308.0,1635.0,MARICOPA,-112.15359,33.655411,243563.0,40100000000000.0,Market,,,
929,04013616300,82501.0,Walmart Neighborhood Market 3315,4230 W Union Hills Dr,,Glendale,AZ,85308.0,1704.0,MARICOPA,-112.15042,33.654655,82502.0,40100000000000.0,GroceryStore,,,
930,04013616400,86227.0,Target Store T-1141,2727 W Agua Fria Fwy,,Phoenix,AZ,85027.0,3929.0,MARICOPA,-112.11878,33.667885,86228.0,40100000000000.0,GroceryStore,,,
931,04013616500,,,,,,,,,,,,,,,,,
932,04013616600,,,,,,,,,,,,,,,,,
933,04013616700,,,,,,,,,,,,,,,,,
934,04013616800,,,,,,,,,,,,,,,,,
935,04013616900,,,,,,,,,,,,,,,,,
936,04013617000,,,,,,,,,,,,,,,,,
937,04013617100,,,,,,,,,,,,,,,,,
938,04013617200,,,,,,,,,,,,,,,,,
939,04013617300,,,,,,,,,,,,,,,,,
940,04013617400,212222.0,SAFEWAY 236,10926 W Bell Rd,,Sun City,AZ,85351.0,1018.0,MARICOPA,-112.29189,33.638107,212223.0,40100000000000.0,GroceryStore,,,
941,04013617500,142608.0,FRY'S 114,9245 W Union Hills Dr,,Peoria,AZ,85382.0,8154.0,MARICOPA,-112.26215,33.652565,142609.0,40100000000000.0,GroceryStore,,,
942,04013617600,63474.0,Albertsons 1971,8950 W Bell Rd,,Peoria,AZ,85382.0,3714.0,MARICOPA,-112.25161000000001,33.638218,63475.0,40100000000000.0,GroceryStore,,,
943,04013617700,199361.0,TRADER JOE'S  85,7720 W Bell Rd,,Glendale,AZ,85308.0,891.0,MARICOPA,-112.22741,33.638317,199362.0,40100000000000.0,Pricey,,,
944,04013617700,185703.0,Walmart Supercenter 3241,18551 N 83rd Ave,,Glendale,AZ,85308.0,501.0,MARICOPA,-112.23676999999999,33.649364,185704.0,40100000000000.0,GroceryStore,,,
945,04013617800,,,,,,,,,,,,,,,,,
946,04013617900,,,,,,,,,,,,,,,,,
