,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract
21941,Fast Market 8139,4305 E Ray Rd,,Phoenix,AZ,85044,4700,MARICOPA,-111.99147,33.319855,21942,040131167194001,04013116719
21950,Circle K Store 2741635,3980 E McDowell Rd,,Phoenix,AZ,85008,4308,MARICOPA,-111.99637,33.465717,21951,040131114022024,04013111402
22039,QuikTrip 431,1861 S Mesa Dr,,Mesa,AZ,85210,6214,MARICOPA,-111.82442,33.380875,22040,040134223013057,04013422301
22117,Panaderia Y Tortilleria LLC,2829 N 32nd St,Ste 103,Phoenix,AZ,85008,1264,MARICOPA,-112.01289,33.479351,22118,040131114011006,04013111401
22218,Vitamin Cottage Natural Food Market U125,5600 E River Rd,,Tucson,AZ,85750,,PIMA,-110.87324,32.273384,22219,040190047211005,04019004721
22273,SAFEWAY 1291,13733 N Fountain Hills Blvd,,Fountain Hills,AZ,85268,3730,MARICOPA,-111.7293,33.610275,22274,040132168184008,04013216818
22328,7 - Eleven 13011 E,774 N Arizona Ave,,Chandler,AZ,85225,6711,MARICOPA,-111.84162,33.316849,22329,040135230021010,04013523002
22428,SAFEWAY  1750,6501 E Greenway Pkwy Bldg 4,,Scottsdale,AZ,85254,2065,MARICOPA,-111.94081,33.625568,22429,040131032201000,04013103220
22446,Del Monte Market 1,2659 W Dobbins Rd,,Phoenix,AZ,85041,9414,MARICOPA,-112.11694,33.363064,22447,040131166133032,04013116613
22448,Mercado Y Carniceria Sepulveda,1708 W Bell Rd,,Phoenix,AZ,85023,3414,MARICOPA,-112.09618,33.640259,22449,040136188002000,04013618800
22547,OLD RED LAKE T.P.,343 Highway 160,,Tonalea,AZ,86044,9997,COCONINO,-110.89936,36.365234,22548,040059422013373,04005942201
22717,Quick Break,3095 E Irvington Rd,,Tucson,AZ,85714,1937,PIMA,-110.92678,32.163288,22718,040190041172010,04019004117
23019,Dollar Tree 4689,1631 McCulloch Blvd N,Ste 102,Lake Havasu City,AZ,86403,6547,MOHAVE,-114.34282,34.475307,23020,040159530001038,04015953000
23551,JC Mart,623 E Cottonwood Ln,,Casa Grande,AZ,85122,2000,PINAL,-111.74619,32.894112,23552,040210014033006,04021001403
23595,Roble's Meat Shop Carniceria,4360 W Olive Ave,,Glendale,AZ,85302,3826,MARICOPA,-112.15247,33.567593,23596,040130923084005,04013092308
24230,Family Dollar 8620,3035 E 36th St,,Tucson,AZ,85713,4043,PIMA,-110.92793,32.191048,24231,040190021003008,04019002100
24377,Cirlce K 2741653,7550 S Rural Rd,,Tempe,AZ,85283,4659,MARICOPA,-111.9285,33.34959,24378,040133199081040,04013319908
24831,Sunmart 605,2507 W Bus 10,,San Simon,AZ,85632,,COCHISE,-109.24349,32.271519,24832,040030001001267,04003000100
24933,Sk Chevron,357 N Stapley Dr,,Mesa,AZ,85203,8030,MARICOPA,-111.80527,33.422089,24934,040134216012003,04013421601
24989,Valley Mart Inc,16560 W Avra Valley Rd,,Marana,AZ,85653,9053,PIMA,-111.32072,32.378757,24990,040190044191056,04019004419
24994,Comunidad Latina 2,2018 N 35th Ave,,Phoenix,AZ,85009,2353,MARICOPA,-112.1345,33.46999,24995,040131122012000,04013112201
25033,Wing Lee Poultry,111 S Dobson Rd,Ste 106,Mesa,AZ,85202,1089,MARICOPA,-111.87446,33.412552,25034,040134213042000,04013421304
25512,Hualpai Market,885 Highway 66,,Peach Springs,AZ,86434,5300,MOHAVE,-113.42622,35.529045,25513,040159404001188,04015940400
25624,Arco Ampm 42441,2800 N Oracle Rd,,Tucson,AZ,85705,4318,PIMA,-110.978,32.257816,25625,040190013041003,04019001304
25669,Hatch Quick Stop Inc,2310 Navajo Blvd,,Holbrook,AZ,86025,1827,NAVAJO,-110.14046,34.929077,25670,040179601001108,04017960100
25702,Big Lots 4329,3959 N Oracle Rd,,Tucson,AZ,85705,3248,PIMA,-110.97832,32.278454,25703,040190045081024,04019004508
25822,Komatke Market,17197 S 51st Avenue,,Laveen,AZ,85339,,MARICOPA,-112.16901,33.290565,25823,040139410001059,04013941000
26048,Dollar General 13047,3150 Willow Creek Rd,,Prescott,AZ,86301,6610,YAVAPAI,-112.4612,34.598217,26049,040250010011000,04025001001
26050,"Maverik, Inc 445",4555 W White Mountain Blvd,,Lakeside,AZ,85929,,NAVAJO,-110.00307,34.171787,26051,040179613003013,04017961300
26312,Super Carniceria Los Alamos 2,10730 W Lower Buckeye Rd,,Avondale,AZ,85323,9653,MARICOPA,-112.29078,33.421036,26313,040130822102001,04013082210
26327,Old Town Scottsdale Farmers Market,7250 E 1st St,,Scottsdale,AZ,85251,4402,MARICOPA,-111.92532,33.492268,26328,040132172012034,04013217201
26388,Family Dollar Store 11192,208 N Sumner St,,Tombstone,AZ,85638,,COCHISE,-110.06996,31.717413,26389,040030004002001,04003000400
26428,Circle K 2703478,6761 E Baseline Rd,,Gilbert,AZ,85234,,MARICOPA,-111.73073,33.379246,26429,040134226362013,04013422636
26441,Valley Kwik Market,1938 E Roosevelt St,,Phoenix,AZ,85006,3643,MARICOPA,-112.03958,33.458675,26442,040131133001054,04013113300
26519,360 Discount Store,6402 S Park Ave,,Tucson,AZ,85706,6033,PIMA,-110.95628,32.13575,26520,040190037022019,04019003702
26616,Metro Tech High School Farmers Market,1900 W Thomas Rd,,Phoenix,AZ,85015,6053,MARICOPA,-112.10005,33.48069,26617,040131170001018,04013117000
27056,Mohave Market Place,5480 S Highway 95,,Fort Mohave,AZ,86426,9227,MOHAVE,-114.59798,34.997501,27057,040159520023015,04015952002
27126,"Depot 89 Marketplace, Inc.",23050 N State Route 89,,Paulden,AZ,86334,3701,YAVAPAI,-112.4687,34.880348,27127,040250002041075,04025000204
27163,Kings Liquor And Liquers,2925 E Northern Ave,,Kingman,AZ,86409,2701,MOHAVE,-114.0129,35.253944,27164,040159507051002,04015950705
27197,Foodvalley Market 01,9102 W Washington St,,Tolleson,AZ,85353,2929,MARICOPA,-112.25532,33.447414,27198,040130830001031,04013083000
27202,Fry's 615,1455 N Higley Rd,,Gilbert,AZ,85234,1631,MARICOPA,-111.72222,33.375622,27203,040134226211002,04013422621
27342,Super Carniceria Don Filos,1533 E Apache Blvd,,Tempe,AZ,85281,5922,MARICOPA,-111.91364,33.414627,27343,040133191043002,04013319104
27346,Papa Murphy's AZ044,2820 S Alma School Rd,Ste 2,Chandler,AZ,85286,4399,MARICOPA,-111.85877,33.264984,27347,040138122002001,04013812200
27358,Mukhi Shah 1040 Llc 1040,710 E Indian School Rd,,Phoenix,AZ,85014,4626,MARICOPA,-112.06444,33.495136,27359,040131086012013,04013108601
27374,Rapid-o Mart Llc,500 E Chandler Blvd,Ste 2,Chandler,AZ,85225,5545,MARICOPA,-111.83398,33.306206,27375,040135229032015,04013522903
27566,African Market Llc,721 E Guadalupe Rd,,Tempe,AZ,85283,2911,MARICOPA,-111.9305,33.363689,27567,040133199081000,04013319908
27688,QuikTrip 472,8293 W Lake Pleasant Pkwy,,Peoria,AZ,85382,7426,MARICOPA,-112.24,33.671368,27689,040136137003011,04013613700
27719,Family Dollar Store 11152,28955 Pierce Ferry Rd,,Meadowview,AZ,86444,,MOHAVE,-114.09292,35.97583,27720,040159504023039,04015950402
27842,Carniceria La Tapatia Llc,517 W Western Ave,,Avondale,AZ,85323,2226,MARICOPA,-112.35579,33.43531,27843,040130614012001,04013061401
27845,Dollar General 17831,3661 Jamaica Blvd N,,Lake Havasu City,AZ,86404,,MOHAVE,-114.28537,34.500168,27846,040159528003001,04015952800
27855,Desert Rose Express,37 S McQueen Rd,,Gilbert,AZ,85233,5500,MARICOPA,-111.82427,33.349293,27856,040134223051000,04013422305
27924,Dollar Tree 7664,1130 S Castle Dome Ave,,Yuma,AZ,85365,5303,YUMA,-114.60746,32.707062,27925,040270109131039,04027010913
27958,Fort Valley Chevron,1312 N Fort Valley Rd,,Flagstaff,AZ,86001,3035,COCONINO,-111.64941,35.211037,27959,040050002001061,04005000200
27980,99 Cents Only Store 367,44515 W Edison Rd,,Maricopa,AZ,85138,6401,PINAL,-112.04656,33.065136,27981,040210017062017,04021001706
28009,7-ELEVEN 17766D,1750 E Speedway Blvd,,Tucson,AZ,85719,4515,PIMA,-110.94545,32.235954,28010,040190005006020,04019000500
28124,Food City 93,1450 N Dysart Rd,,Avondale,AZ,85335,,MARICOPA,-112.34113,33.448563,28125,040130612003000,04013061200
28174,Walgreens 01899,9495 E Speedway Blvd,,Tucson,AZ,85710,1835,PIMA,-110.79002,32.235477,28175,040190040473000,04019004047
28278,SAFEWAY  1605,1060 E Ray Rd,,Chandler,AZ,85225,1542,MARICOPA,-111.82346,33.320827,28279,040138113002010,04013811300
28311,Walgreens 04102,6767 E Broadway Blvd,,Tucson,AZ,85710,2806,PIMA,-110.84757,32.221149,28312,040190040682000,04019004068
28312,Walgreens 02910,8730 E Broadway Blvd,,Tucson,AZ,85710,4016,PIMA,-110.80589,32.220905,28313,040190040491002,04019004049
28411,Papa Murphys Pizza AZ057,20020 N 59th Ave,Ste 105,Glendale,AZ,85308,6870,MARICOPA,-112.18683,33.666573,28412,040136159002003,04013615900
28457,Walgreens 04266,2150 W Orange Grove Rd,,Tucson,AZ,85741,3119,PIMA,-111.01281,32.323269,28458,040190046281008,04019004628
28481,Walgreens 03097,7115 E Tanque Verde Rd,,Tucson,AZ,85715,3431,PIMA,-110.84044,32.250877,28482,040190040312018,04019004031
28627,SAFEWAY 1887,3970 Stockton Hill Rd,,Kingman,AZ,86409,3002,MOHAVE,-114.03763,35.238224,28628,040159549001032,04015954900
28628,Bashas' Dine Market 98,HCR63 PMB 6069,,WINSLOW,AZ,86047,,NAVAJO,-110.69811,35.029613,28629,040179604003026,04017960400
28642,"Communidad Latina, Llc.",1616 E Main St,Ste 128,Mesa,AZ,85203,9073,MARICOPA,-111.79639,33.415367,28643,040134216011021,04013421601
28666,7-Eleven 20433C,12033 N 28th Dr,,Phoenix,AZ,85029,3304,MARICOPA,-112.12006,33.59602,28667,040131043022002,04013104302
28679,99 Cents Only Store 133,790 E Southern Ave,,Tempe,AZ,85282,5207,MARICOPA,-111.92794,33.393002,28680,040133196002015,04013319600
28749,Bashas' 113,731 E Union Hills Dr,,Phoenix,AZ,85024,2900,MARICOPA,-112.06391,33.654823,28750,040136190001002,04013619000
29046,Shell 34,24805 N Lake Pleasant Pkwy,,Peoria,AZ,85383,1280,MARICOPA,-112.27235,33.708824,29047,040136109002106,04013610900
29050,Rick Murphy's Chevron,1198 Old Hwy 66,,Ash Fork,AZ,86320,,YAVAPAI,-112.49856,35.218513,29051,040250021001181,04025002100
29326,99 Cents Only Store 322,4240 W Bell Rd,,Phoenix,AZ,85308,,MARICOPA,-112.15042,33.639465,29327,040136183001013,04013618300
29411,Family Dollar 8851,5060 N US Hwy 89,,Flagstaff,AZ,86004,,COCONINO,-111.57982,35.22757,29412,040050005003046,04005000500
29486,Jacksons Food Stores 806,15515 N Scottsdale Rd,,Scottsdale,AZ,85254,2100,MARICOPA,-111.92544,33.62888,29487,040132168161039,04013216816
29535,Arco AM/PM,3501 W Peoria Ave,,Phoenix,AZ,85029,4037,MARICOPA,-112.1346,33.581852,29536,040131042051000,04013104205
29585,Dollar Tree 6461,8024 N Cortaro Rd,,Tucson,AZ,85743,8305,PIMA,-111.09429,32.35429,29586,040190044261006,04019004426
29639,Jacksons Food Stores 808,12020 N Tatum Blvd,,Phoenix,AZ,85028,1606,MARICOPA,-111.98115,33.595905,29640,040131032082004,04013103208
29649,Skyline Market,5650 E Skyline Dr,,San Tan Valley,AZ,85140,8465,PINAL,-111.50473,33.191116,29650,040210002071085,04021000207
29652,Mcgary's Discount Groceries,2411 N Oracle Rd,,Tucson,AZ,85705,4321,PIMA,-110.97825,32.250828,29653,040190013033009,04019001303
29713,Jacksons Food Stores 805,16610 N Scottsdale Rd,,Phoenix,AZ,85254,,MARICOPA,-111.92554,33.637012,29714,040131032191000,04013103219
